void_id,ra_deg,dec_deg,z,r_eff_mpc,source_catalog,vizier_catalog
8911,147.256,37.828,0.595,59.0,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2235,147.461,-0.633,0.495,42.408,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16693,140.364,49.459,0.47,55.774,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12105,223.133,6.344,0.469,53.674,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
887,121.662,37.898,0.483,41.254,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12778,258.511,26.95,0.477,36.479,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16311,201.662,7.986,0.511,33.173,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22602,226.184,57.685,0.648,74.874,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14960,156.786,11.099,0.554,58.744,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11374,187.134,4.371,0.659,61.046,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20199,224.958,58.712,0.532,41.139,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11752,179.681,3.292,0.457,36.753,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5285,227.787,0.513,0.653,41.409,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15562,167.948,15.084,0.663,48.656,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15417,205.911,9.249,0.452,33.199,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21616,176.092,54.264,0.651,76.99,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21937,224.392,50.225,0.615,36.04,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14673,171.889,9.053,0.632,99.712,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3559,217.57,32.725,0.656,62.371,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15046,169.489,15.168,0.463,60.487,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4350,237.349,19.95,0.545,69.34,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11495,124.772,3.454,0.485,34.251,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9813,175.455,34.044,0.458,43.129,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1211,153.712,-0.75,0.512,27.058,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1255,141.55,-0.561,0.573,41.007,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15511,215.893,13.208,0.525,56.378,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5072,219.904,0.762,0.605,57.254,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14252,244.999,33.785,0.588,66.547,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17794,141.138,24.9,0.475,68.221,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1357,164.07,-0.819,0.583,49.603,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3524,205.064,35.822,0.539,63.473,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11216,200.286,4.999,0.517,35.714,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19841,150.344,22.694,0.576,71.77,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21589,174.212,49.094,0.538,64.003,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16911,129.404,59.382,0.478,23.83,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15951,152.581,14.419,0.641,93.318,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17737,135.006,22.627,0.518,47.714,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22586,230.79,58.336,0.559,59.387,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4204,235.911,25.675,0.512,54.384,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12126,133.333,6.939,0.626,34.104,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15737,132.568,17.375,0.509,40.824,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21432,173.998,48.315,0.463,58.039,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
10757,181.156,2.828,0.49,28.071,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14253,239.285,37.744,0.493,42.652,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12768,259.361,26.162,0.62,40.514,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17188,140.297,33.357,0.541,72.382,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
8529,115.287,32.789,0.498,32.342,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18319,167.005,20.388,0.485,72.904,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20890,171.703,62.088,0.64,88.41,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18716,230.402,43.55,0.451,24.489,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16296,160.265,11.249,0.53,88.867,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16260,157.278,16.169,0.532,59.781,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14689,232.097,12.725,0.648,60.694,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9026,165.215,43.53,0.555,47.602,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21843,174.657,56.341,0.519,49.7,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16192,148.407,14.246,0.533,56.286,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16268,161.036,16.922,0.505,50.295,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19273,164.037,33.231,0.512,40.999,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19904,178.868,25.34,0.605,66.447,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1395,184.962,-0.39,0.534,25.41,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6764,250.989,25.945,0.543,50.707,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18632,242.368,42.636,0.459,53.686,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1270,155.97,-0.875,0.537,41.462,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
890,119.454,35.191,0.579,53.178,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21120,191.681,62.314,0.616,71.451,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18411,191.773,16.916,0.479,50.815,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
6678,256.588,22.216,0.628,24.866,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15010,133.225,7.341,0.513,37.777,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
8101,121.871,15.451,0.478,50.498,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19989,177.092,26.006,0.456,51.355,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9847,180.403,32.86,0.461,46.131,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
5990,217.981,-0.365,0.508,54.595,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19957,169.103,20.977,0.576,44.299,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19613,188.006,29.521,0.538,61.489,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17328,220.054,26.92,0.499,22.323,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12747,254.916,30.779,0.541,55.399,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12360,226.578,6.06,0.458,39.265,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
10833,158.003,2.862,0.616,25.076,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19839,164.666,25.125,0.624,61.201,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13929,132.276,30.919,0.526,34.505,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13931,133.575,31.836,0.572,55.933,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12135,129.854,5.672,0.488,22.129,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11861,208.226,5.31,0.577,43.079,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4282,230.24,22.849,0.553,53.662,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21985,204.181,55.706,0.456,43.573,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11128,166.289,4.245,0.579,41.839,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14984,150.589,10.021,0.471,63.479,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
14345,247.612,39.902,0.477,75.612,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15232,217.846,10.671,0.488,38.616,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3606,206.866,36.398,0.605,58.982,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16553,136.335,58.61,0.469,72.599,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17861,144.877,22.537,0.661,43.431,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4661,231.953,0.944,0.465,37.244,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
898,122.236,38.802,0.52,47.296,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
