RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
85.5920211406099,0.370440380973511,0.05301767,SDSS,85,0,11
85.4808056360877,0.289600353006093,0.05318839,SDSS,85,0,11
82.7110192539529,0.42212211402871,0.1795987,SDSS,82,0,2
81.5420226109404,0.414856103303551,0.1785832,SDSS,81,0,20
81.419412599001,0.379345498714517,0.4437218,SDSS,81,0,20
81.1813439304045,0.41363993690756,0.2365103,SDSS,81,0,20
81.0908337324878,0.389770197043796,0.1530028,SDSS,81,0,20
73.1566203533891,0.403315174668064,0.1210211,SDSS,73,0,2
71.3172853723499,0.308881957577557,0.6424714,SDSS,71,0,2
90.6898048002213,-0.125318088755045,0.6298705,SDSS,90,-1,3
90.0901720097547,-0.0150478266971489,0.126261,SDSS,90,-1,3
88.9721274478766,-0.150726829448167,0.5697345,SDSS,88,-1,1
87.8868395523243,-0.123869912917329,0.1495817,SDSS,87,-1,11
87.4335561683113,-0.186252763226156,0.2785011,SDSS,87,-1,11
87.5353520184452,-0.0106899586008848,0.1095455,SDSS,87,-1,11
87.5010359262949,-0.197174167042477,0.1195249,SDSS,87,-1,11
87.0705260161423,-0.189387405330797,0.1815861,SDSS,87,-1,11
86.8341847319965,-0.168079357279681,0.5883247,SDSS,86,-1,8
86.3027590754632,-0.197644783639508,0.1799669,SDSS,86,-1,8
86.1801562973864,-0.15576348427141,0.4792747,SDSS,86,-1,8
86.0358305311787,-0.106144797701418,0.2989859,SDSS,86,-1,8
86.0206272550022,-0.168092536402181,0.1212948,SDSS,86,-1,8
73.3527526362745,-0.12359050071333,0.6883767,SDSS,73,-1,2
73.2578496822028,-0.0750941279228745,0.5488548,SDSS,73,-1,2
72.9480394883483,-0.159505908204469,0.5943226,SDSS,72,-1,2
72.1193653804755,-0.0113788555750437,0.1671055,SDSS,72,-1,2
90.88084778627,-0.609155072277265,0.593474,SDSS,90,-1,3
87.6087074993043,-0.608192782389182,0.184409,SDSS,87,-1,11
87.4993749084139,-0.444036536010853,0.5734205,SDSS,87,-1,11
87.4857945485601,-0.437006524874704,0.1075606,SDSS,87,-1,11
87.4932926656022,-0.435713191643098,0.1209655,SDSS,87,-1,11
89.9427002117242,-0.947713697920141,0.4881368,SDSS,89,-1,1
87.2190640326735,-0.859209018975585,0.2936296,SDSS,87,-1,11
87.2069402509375,-0.967702487613887,0.3856471,SDSS,87,-1,11
86.9539044692641,-0.876871612232249,0.7574083,SDSS,86,-1,8
86.8342840787024,-0.997370227418804,0.6859608,SDSS,86,-1,8
84.0932552783565,-0.833461512289588,0.2437971,SDSS,84,-1,1
122.096723031113,0.957569877569936,0.4604377,SDSS,122,0,118
196.47421903683,0.347327986764762,0.08981418,SDSS,196,0,187
122.227518582474,0.919658430022999,0.637234,SDSS,122,0,118
122.348727982039,0.91478751449079,0.5025893,SDSS,122,0,118
122.531908687962,0.954766520538173,0.3917418,SDSS,122,0,118
122.58409447837,0.845593698295473,0.4804713,SDSS,122,0,118
122.608777599429,0.97564966042506,0.6421724,SDSS,122,0,118
122.79373481361,0.860261699677526,0.1891094,SDSS,122,0,118
122.825840800038,0.85810049087896,0.7373399,SDSS,122,0,118
122.926202148244,0.981335981453228,0.6548436,SDSS,122,0,118
122.943287913232,0.968111556454259,0.6568768,SDSS,122,0,118
122.96843913358,0.843313512463538,0.5689479,SDSS,122,0,118
122.98090949933,0.957916705410824,0.5086378,SDSS,122,0,118
122.896875472166,0.88198472409974,0.4538366,SDSS,122,0,118
122.942989288248,0.948798030811087,0.4411986,SDSS,122,0,118
122.957049316579,0.893419604441408,0.5367888,SDSS,122,0,118
122.980166092919,0.870648160971605,0.5040032,SDSS,122,0,118
122.992967526291,0.91504182648058,0.5553204,SDSS,122,0,118
123.073089834516,0.942050072365062,0.4406308,SDSS,123,0,121
123.118167980054,0.987429336053872,0.5735373,SDSS,123,0,121
123.098881791183,0.957702867491325,0.6494528,SDSS,123,0,121
123.251486742282,0.964714817376075,0.2982977,SDSS,123,0,121
123.295256127071,0.898909832056378,0.7347466,SDSS,123,0,121
123.398609659,0.888741773495062,0.1916635,SDSS,123,0,121
123.43259216178,0.904114156790079,0.4759132,SDSS,123,0,121
123.327465952902,0.899981534519096,0.4355723,SDSS,123,0,121
123.376963930472,0.986962586327673,0.59498,SDSS,123,0,121
123.382258798083,0.970470975126053,0.435501,SDSS,123,0,121
123.391411054386,0.933357018956953,0.5789977,SDSS,123,0,121
123.397994300399,0.996953822225397,0.5978801,SDSS,123,0,121
123.563716684237,0.993392391253451,0.1904829,SDSS,123,0,121
123.612777090055,0.948787094735607,0.06836367,SDSS,123,0,121
123.502604184785,0.914972127512033,0.5789472,SDSS,123,0,121
123.507185545861,0.956570672956056,0.3827046,SDSS,123,0,121
123.587268300801,0.934163127334914,0.5838812,SDSS,123,0,121
123.743041475178,1.00639863332928,0.0904626,SDSS,123,1,35
123.657002350386,0.898584928838377,0.4948673,SDSS,123,0,121
123.678012399668,0.89049301330234,0.4954989,SDSS,123,0,121
120.189542195461,0.869039579626483,0.5059645,SDSS,120,0,100
120.233348660387,0.919610996840144,0.2816942,SDSS,120,0,100
120.164725385277,0.876820460784743,0.6388744,SDSS,120,0,100
120.104811467992,0.865609639015093,0.3736618,SDSS,120,0,100
119.809885461218,0.894826667703826,0.4816216,SDSS,119,0,55
119.799089908291,0.853171395199084,0.2132223,SDSS,119,0,55
119.840030933267,0.952185522532014,0.2538315,SDSS,119,0,55
119.582639609107,0.952347067064068,0.3991932,SDSS,119,0,55
119.483447786199,1.26428228879365,0.1477605,SDSS,119,1,21
119.502783376326,1.32316615490286,0.1486377,SDSS,119,1,21
119.577674912981,1.2966172920076,0.7151744,SDSS,119,1,21
119.737736912838,1.34846055071144,0.2305305,SDSS,119,1,21
121.884355051729,0.50693078705147,0.4369537,SDSS,121,0,105
